file,class,methode,beginline,endline,begincolumn,endcolumn,rule,ruleset,package,text
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DataBaseServer.java,DataBaseServer,getAll,51,51,26,46,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.SQLException' due to existing import 'java.sql.SQLException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,,52,52,17,36,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'javax.sql.DataSource' due to existing import 'javax.sql.DataSource'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,,52,52,46,65,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'javax.sql.DataSource' due to existing import 'javax.sql.DataSource'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,getSqlStatement,106,106,23,40,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.Statement' due to existing import 'java.sql.Statement'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,getSqlConnection,143,143,23,41,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.Connection' due to existing import 'java.sql.Connection'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,outputUpdateComplete,165,165,98,118,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.SQLException' due to existing import 'java.sql.SQLException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,outputUpdateComplete,170,170,59,87,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'org.owasp.esapi.ESAPI.encoder' due to existing import 'org.owasp.esapi.ESAPI'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,outputUpdateComplete,174,174,94,114,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.SQLException' due to existing import 'java.sql.SQLException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,outputUpdateComplete,176,176,65,93,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'org.owasp.esapi.ESAPI.encoder' due to existing import 'org.owasp.esapi.ESAPI'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,180,180,120,140,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.SQLException' due to existing import 'java.sql.SQLException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,180,180,41,58,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.Statement' due to existing import 'java.sql.Statement'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,194,194,80,108,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'org.owasp.esapi.ESAPI.encoder' due to existing import 'org.owasp.esapi.ESAPI'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,232,232,108,128,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.SQLException' due to existing import 'java.sql.SQLException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,232,232,33,50,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.Statement' due to existing import 'java.sql.Statement'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,237,237,86,114,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'org.owasp.esapi.ESAPI.encoder' due to existing import 'org.owasp.esapi.ESAPI'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,272,272,41,58,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.ResultSet' due to existing import 'java.sql.ResultSet'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,272,272,113,133,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.SQLException' due to existing import 'java.sql.SQLException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,279,279,80,108,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'org.owasp.esapi.ESAPI.encoder' due to existing import 'org.owasp.esapi.ESAPI'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,302,302,33,50,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.ResultSet' due to existing import 'java.sql.ResultSet'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,302,302,101,121,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.SQLException' due to existing import 'java.sql.SQLException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printResults,306,306,80,108,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'org.owasp.esapi.ESAPI.encoder' due to existing import 'org.owasp.esapi.ESAPI'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/DatabaseHelper.java,DatabaseHelper,printColTypes,387,387,90,110,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'java.sql.SQLException' due to existing import 'java.sql.SQLException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/LDAPManager.java,LDAPManager,insert,103,111,50,25,EmptyIfStmt,Empty Code,org.owasp.benchmark.helpers,Avoid empty if statements
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/LDAPManager.java,LDAPManager,search,145,148,51,33,EmptyIfStmt,Empty Code,org.owasp.benchmark.helpers,Avoid empty if statements
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,LDAPServer,LDAPServer,48,48,23,28,UnusedLocalVariable,Unused Code,org.owasp.benchmark.helpers,Avoid unused local variables such as 'result'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,LDAPServer,initSchemaPartition,223,224,19,17,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,LDAPServer,initSchemaPartition,244,245,19,17,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/LDAPServer.java,LDAPServer,main,320,320,28,31,UnusedLocalVariable,Unused Code,org.owasp.benchmark.helpers,Avoid unused local variables such as 'ldap'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/PropertiesManager.java,PropertiesManager,displayProperties,31,32,19,17,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/PropertiesManager.java,PropertiesManager,getProperty,45,46,19,17,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/PropertiesManager.java,PropertiesManager,getProperty,58,59,19,17,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/SourceUtils.java,SourceUtils,getLinesFromFile,77,79,19,17,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/SourceUtils.java,SourceUtils,getLinesFromFile,85,86,27,25,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/ThingInterface.java,ThingInterface,doSomething,22,22,16,45,UnusedModifier,Unused Code,org.owasp.benchmark.helpers,Avoid modifiers which are implied by the context
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/Utils.java,Utils,getInitialDirContext,218,218,23,62,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'javax.naming.directory.InitialDirContext' due to existing import 'javax.naming.directory.InitialDirContext'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/Utils.java,Utils,getDirContext,232,232,23,55,UnnecessaryFullyQualifiedName,Import Statements,org.owasp.benchmark.helpers,Unnecessary use of fully qualified name 'javax.naming.directory.DirContext' due to existing import 'javax.naming.directory.DirContext'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/Utils.java,Utils,getLinesFromFile,275,277,19,17,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/Utils.java,Utils,getLinesFromFile,283,284,27,25,EmptyCatchBlock,Empty Code,org.owasp.benchmark.helpers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/helpers/Utils.java,Utils,encodeForHTML,293,294,46,17,EmptyIfStmt,Empty Code,org.owasp.benchmark.helpers,Avoid empty if statements
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/BenchmarkScore.java,BenchmarkScore,printExtraCWE,432,432,25,93,UnusedPrivateMethod,Unused Code,org.owasp.benchmark.score,"Avoid unused private methods such as 'printExtraCWE(TestResults,TestResults)'."
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/BenchmarkScore.java,BenchmarkScore,readActualResults,617,617,20,24,UnusedLocalVariable,Unused Code,org.owasp.benchmark.score,Avoid unused local variables such as 'line1'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/BenchmarkScore.java,BenchmarkScore,readActualResults,742,744,27,25,EmptyCatchBlock,Empty Code,org.owasp.benchmark.score,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/BenchmarkScore.java,BenchmarkScore,compare,852,854,29,29,CollapsibleIfStatements,Basic,org.owasp.benchmark.score,These nested if statements could be combined
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/BenchmarkScore.java,BenchmarkScore,produceResultsFile,964,964,48,116,UselessParentheses,Unnecessary,org.owasp.benchmark.score,Useless parentheses.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/BenchmarkScore.java,BenchmarkScore,generateOverallStatsTable,1206,1206,41,41,UnusedLocalVariable,Unused Code,org.owasp.benchmark.score,Avoid unused local variables such as 'c'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/WriteTime.java,WriteFiles,deletePreviousResults,185,188,61,99,UselessParentheses,Unnecessary,org.owasp.benchmark.score,Useless parentheses.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/WriteTime.java,WriteFiles,deletePreviousResults,187,188,126,98,UselessParentheses,Unnecessary,org.owasp.benchmark.score,Useless parentheses.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/AcunetixReader.java,AcunetixReader,cweLookup,119,119,24,27,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/AcunetixReader.java,AcunetixReader,cweLookup,122,139,13,9,EmptySwitchStatements,Empty Code,org.owasp.benchmark.score.parsers,Avoid empty switch statements
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/AppScanDynamicReader.java,,,21,21,1,32,UnusedImports,Import Statements,org.owasp.benchmark.score.parsers,Avoid unused imports such as 'java.text.ParseException'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/AppScanDynamicReader.java,AppScanDynamicReader,parse,98,100,15,13,EmptyCatchBlock,Empty Code,org.owasp.benchmark.score.parsers,Avoid empty catch blocks
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/AppScanDynamicReader.java,AppScanDynamicReader,parseAppScanDynamicVulnerability,146,146,16,25,UnusedLocalVariable,Unused Code,org.owasp.benchmark.score.parsers,Avoid unused local variables such as 'confidence'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/AppScanDynamicReader.java,AppScanDynamicReader,translate,166,193,9,9,EmptySwitchStatements,Empty Code,org.owasp.benchmark.score.parsers,Avoid empty switch statements
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/AppScanSourceReader.java,AppScanSourceReader,printPool,121,121,25,61,UnusedPrivateMethod,Unused Code,org.owasp.benchmark.score.parsers,Avoid unused private methods such as 'printPool(Map)'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/ArachniReader.java,ArachniReader,parseArachniIssue,143,143,16,19,UnusedLocalVariable,Unused Code,org.owasp.benchmark.score.parsers,Avoid unused local variables such as 'conf'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/ArachniReader.java,ArachniReader,cweLookup,174,175,9,9,EmptySwitchStatements,Empty Code,org.owasp.benchmark.score.parsers,Avoid empty switch statements
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/CheckmarxReader.java,,,23,23,1,34,UnusedImports,Import Statements,org.owasp.benchmark.score.parsers,Avoid unused imports such as 'java.text.SimpleDateFormat'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/CheckmarxReader.java,,,31,31,1,28,UnusedImports,Import Statements,org.owasp.benchmark.score.parsers,Avoid unused imports such as 'org.w3c.dom.NodeList'
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/ContrastReader.java,ContrastReader,cweLookup,120,120,20,23,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/ContrastReader.java,ContrastReader,cweLookup,122,122,20,23,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/ContrastReader.java,ContrastReader,cweLookup,124,124,20,23,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/FortifyReader.java,FortifyReader,cweLookup,126,126,52,58,UnusedFormalParameter,Unused Code,org.owasp.benchmark.score.parsers,Avoid unused method parameters such as 'subtype'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/NoisyCricketReader.java,NoisyCricketReader,parseNoisyCricketIssue,69,69,9,15,UnnecessaryReturn,Unnecessary,org.owasp.benchmark.score.parsers,Avoid unnecessary return statements
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/PMDReader.java,PMDReader,figureCWE,92,92,54,56,UnusedFormalParameter,Unused Code,org.owasp.benchmark.score.parsers,Avoid unused method parameters such as 'tcr'.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/Rapid7Reader.java,Rapid7Reader,cweLookup,189,189,24,27,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,119,119,32,35,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,120,120,30,33,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,123,123,31,34,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,125,125,31,34,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,133,133,31,34,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,137,137,31,34,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,138,138,31,34,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,151,151,31,34,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,152,152,31,34,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/SonarQubeReader.java,SonarQubeReader,cweLookup,154,154,31,34,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/TestResults.java,TestResults,formatTime,241,241,16,28,UselessParentheses,Unnecessary,org.owasp.benchmark.score.parsers,Useless parentheses.
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/WebInspectReader.java,WebInspectReader,cweLookup,106,106,37,40,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/WebInspectReader.java,WebInspectReader,cweLookup,107,107,38,41,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/WebInspectReader.java,WebInspectReader,cweLookup,108,108,38,41,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/WebInspectReader.java,WebInspectReader,cweLookup,110,110,38,41,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/WebInspectReader.java,WebInspectReader,cweLookup,111,111,38,41,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/WebInspectReader.java,WebInspectReader,cweLookup,112,112,38,41,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/WebInspectReader.java,WebInspectReader,cweLookup,113,113,38,41,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
/Users/dwichers/git/benchmark/src/main/java/org/owasp/benchmark/score/parsers/WebInspectReader.java,WebInspectReader,cweLookup,114,114,38,41,AvoidUsingOctalValues,Basic,org.owasp.benchmark.score.parsers,Do not start a literal by 0 unless its an octal value
